Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4469.931152,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4082.198975,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4111.459473,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4052.932373,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4221.193848,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4221.193848,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4184.616211,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4177.300781,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4265.090820,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4462.616211,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4462.616211,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4360.196289,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4418.720703,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4301.668945,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4169.984375,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,3979.774170,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4009.038818,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4038.301270,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4257.774902,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4082.198975,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3891.985107,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3840.775635,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3752.986816,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3752.986816,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3833.459473,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,3972.459229,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4184.616211,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4213.879395,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4169.984375,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,3935.880371,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3804.196289,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3657.881592,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3716.408447,65185000
